species_name_audit_pk	species_pk	source_dataset	source_species_name	species_normalized	match_status
265		meiri	Aspidura guentheri	aspidura_guentheri	normalized_no_species_lookup_provided
266		meiri	Tetracheilostoma breuili	tetracheilostoma_breuili	normalized_no_species_lookup_provided
267		meiri	Afrotyphlops chirioi	afrotyphlops_chirioi	normalized_no_species_lookup_provided
268		meiri	Indotyphlops filiformis	indotyphlops_filiformis	normalized_no_species_lookup_provided
269		meiri	Letheobia zenkeri	letheobia_zenkeri	normalized_no_species_lookup_provided
270		meiri	Amphisbaena albocingulata	amphisbaena_albocingulata	normalized_no_species_lookup_provided
271		meiri	Amphisbaena brevis	amphisbaena_brevis	normalized_no_species_lookup_provided
272		meiri	Amphisbaena heathi	amphisbaena_heathi	normalized_no_species_lookup_provided
273		meiri	Amphisbaena hogei	amphisbaena_hogei	normalized_no_species_lookup_provided
274		meiri	Cynisca ivoirensis	cynisca_ivoirensis	normalized_no_species_lookup_provided
275		meiri	Rhampholeon beraduccii	rhampholeon_beraduccii	normalized_no_species_lookup_provided
276		meiri	Anolis cupeyalensis	anolis_cupeyalensis	normalized_no_species_lookup_provided
277		meiri	Alsophylax tadjikiensis	alsophylax_tadjikiensis	normalized_no_species_lookup_provided
278		meiri	Cnemaspis amboliensis	cnemaspis_amboliensis	normalized_no_species_lookup_provided
279		meiri	Cnemaspis butewai	cnemaspis_butewai	normalized_no_species_lookup_provided
280		meiri	Cnemaspis dezwaani	cnemaspis_dezwaani	normalized_no_species_lookup_provided
281		meiri	Cnemaspis dilepis	cnemaspis_dilepis	normalized_no_species_lookup_provided
282		meiri	Cnemaspis kivulegedarai	cnemaspis_kivulegedarai	normalized_no_species_lookup_provided
283		meiri	Cnemaspis koynaensis	cnemaspis_koynaensis	normalized_no_species_lookup_provided
284		meiri	Cnemaspis mahabali	cnemaspis_mahabali	normalized_no_species_lookup_provided
285		meiri	Cnemaspis minang	cnemaspis_minang	normalized_no_species_lookup_provided
286		meiri	Cnemaspis nandimithrai	cnemaspis_nandimithrai	normalized_no_species_lookup_provided
287		meiri	Cnemaspis nicobaricus	cnemaspis_nicobaricus	normalized_no_species_lookup_provided
288		meiri	Cnemaspis otai	cnemaspis_otai	normalized_no_species_lookup_provided
289		meiri	Cnemaspis pagai	cnemaspis_pagai	normalized_no_species_lookup_provided
290		meiri	Cnemaspis tapanuli	cnemaspis_tapanuli	normalized_no_species_lookup_provided
291		meiri	Cnemaspis whittenorum	cnemaspis_whittenorum	normalized_no_species_lookup_provided
292		meiri	Goggia lineata	goggia_lineata	normalized_no_species_lookup_provided
293		meiri	Goggia rupicola	goggia_rupicola	normalized_no_species_lookup_provided
294		meiri	Hemiphyllodactylus cicak	hemiphyllodactylus_cicak	normalized_no_species_lookup_provided
295		meiri	Lygodactylus expectatus	lygodactylus_expectatus	normalized_no_species_lookup_provided
296		meiri	Lygodactylus grotei	lygodactylus_grotei	normalized_no_species_lookup_provided
297		meiri	Lygodactylus intermedius	lygodactylus_intermedius	normalized_no_species_lookup_provided
298		meiri	Lygodactylus scheffleri	lygodactylus_scheffleri	normalized_no_species_lookup_provided
299		meiri	Narudasia festiva	narudasia_festiva	normalized_no_species_lookup_provided
300		meiri	Tropiocolotes bisharicus	tropiocolotes_bisharicus	normalized_no_species_lookup_provided
